compound_id,smiles
ZINC000000317595,CCOc1cc(C=O)ccc1OC(C)=O
ZINC000000318977,COc1cc(/C=C/C(=O)N2CCCC2)cc(OC)c1OC
ZINC000000320698,COc1cc2c3c(c1OC)-c1ccccc1C[C@H]3N(C)CC2
ZINC000000327584,O=C(O)c1ccc(CO)o1
ZINC000000330136,CC(=O)c1ccc(O)cc1
ZINC000000330141,Oc1cccc(O)c1O
ZINC000000331671,O=C(O)c1cccnc1C(=O)O
ZINC000000332748,COc1ccc(C(=O)O)cc1
ZINC000000332752,O=C(O)c1ccc(O)cc1
ZINC000000336705,CC(=O)C[C@@H]1CCCCN1C
ZINC000000336939,COc1cc(OC)c(OC)cc1C=O
ZINC000000338037,COc1cc(O)cc2c1C(=O)C[C@@H](c1ccccc1)O2
ZINC000000338136,COc1cc2c3c(c1OC)-c1cc4c(cc1C[C@@H]3N(C)CC2)OCO4
ZINC000000338275,COc1cc(C(=O)O)ccc1O
ZINC000000338283,COc1cc(O)c2c(c1)O[C@@H](c1ccc(O)cc1)CC2=O
ZINC000000338284,COc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)CC2=O
ZINC000000338304,CC1(C)C=Cc2cc3ccc(=O)oc3cc2O1
ZINC000000338310,COc1ccc2ccc(=O)oc2c1C[C@H](O)C(C)(C)O
ZINC000000338411,CC1(C)C=CC2=C(O1)C(=O)c1ccccc1C2=O
ZINC000000340411,O=C(c1ccc(O)cc1)c1ccccc1O
ZINC000000347833,COc1cc(C(=O)O)cc(OC)c1OC
ZINC000000388044,O=C(O)CCc1ccc(O)c(O)c1
ZINC000000388064,CC(=O)Oc1ccccc1
ZINC000000388086,Cc1cc(O)ccc1O
ZINC000000388166,O=C(O)c1cccc(O)c1O
ZINC000000388198,NC[C@H](O)c1ccc(O)cc1
ZINC000000388212,COc1cc(O)cc(OC)c1
ZINC000000388238,COC(=O)c1ccc(O)c(OC)c1
ZINC000000388262,COc1cc(CC(=O)O)ccc1O
ZINC000000388292,Nc1c(O)cccc1C(=O)O
ZINC000000388293,COc1cc(CCO)ccc1O
ZINC000000388318,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
ZINC000000388396,CC(C)C[C@@H](N)C(=O)O
ZINC000000388428,O=C(O)Cc1cc(O)ccc1O
ZINC000000388462,O=C(O)Cc1ccccc1
ZINC000000388546,O=C(O)c1cc(O)cc(O)c1
ZINC000000388555,O=C(O)Cc1ccc(O)c(O)c1
ZINC000000388556,O=C(O)CCc1ccc(O)cc1O
ZINC000000388567,COc1cccc(OC)c1C(=O)O
ZINC000000388573,COc1ccc(O)cc1OC
ZINC000000388661,Oc1ccc([C@H]2COc3cc(O)ccc3C2)cc1
ZINC000000388663,CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C
ZINC000000388674,C=CCc1ccc(OC)c(OC)c1
ZINC000000388706,O=C(O)CCCC(=O)O
ZINC000000388754,O=C(O)c1cccc(O)c1
ZINC000000388761,OCc1cccc(O)c1
ZINC000000388762,OCc1ccc(O)cc1
ZINC000000388776,CC(C)=CCOc1ccc2ccc(=O)oc2c1
ZINC000000389516,COc1cccc(O)c1
ZINC000000389716,CCOC(=O)CC(=O)O
ZINC000000391122,C/C=C/c1ccc(O)c(OC)c1
ZINC000000391163,C[C@H]1Cc2cccc(O)c2C(=O)O1
ZINC000000391177,COc1ccc2ccc(=O)oc2c1
ZINC000000391406,COC(=O)c1c(C)cc(O)cc1O
ZINC000000391809,O=C(O)Cc1cccc2ccccc12
ZINC000000391812,CN1CCC[C@H]1c1cccnc1
ZINC000000391821,CCC[C@H](N)C(=O)O
ZINC000000391826,Cc1cc(O)cc(O)c1
ZINC000000391885,COC(=O)c1ccccc1C(=O)OC
ZINC000000391894,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O
ZINC000000392004,N[C@@H](Cc1ccccc1O)C(=O)O
ZINC000000392005,N[C@H](Cc1ccccc1O)C(=O)O
ZINC000000392017,COc1ccc(C(=O)O)cc1OC
ZINC000000393724,C/C=C/c1ccc(OC(C)=O)c(OC)c1
ZINC000000393900,C=CCc1ccc(OC(C)=O)c(OC)c1
ZINC000000394334,COC(=O)c1cc(OC)c(O)c(OC)c1
